"id_producto","nombre","categoria","precio","costo","stock","proveedor","fecha_ingreso","activo","rating"
"17","Negro Acciones","Moda","898.84","202.7","112","Luis Roca Rovira S.Coop.","2024-05-10","True","3.0"
"18","Hablar Podrá","Electrónicos","758.22","431.25","78","Banca Privada Integrales S.A.","2024-09-18","True","4.2"
"19","Tener Llegado","Moda","600.44","195.46","305","Inversiones Integrales S.Com.","2024-02-21","False","3.1"
"20","Luego Expresión","Juguetes","862.17","10.68","369","Infraestructuras Hierro S.A.","2024-04-19","True","3.7"
"21","González Cuatro","Juguetes","753.37","385.46","174","Hermanos Mercader S.A.","2025-03-03","True","2.2"
"22","Menos Llegado","Hogar","459.19","477.14","448","Marisa Salmerón Portero S.C.P","2025-05-01","False","4.9"
"23","Parece Habrá","Hogar","512.6","57.67","320","Finanzas Merino & Asociados S.L.","2025-10-11","False","4.4"
"24","Gente También","Juguetes","612.88","80.66","390","Fulgencio Bilbao Carlos S.L.L.","2025-09-29","True","3.2"
"25","Amigo Próximo","Juguetes","919.31","301.48","250","Familia Durán S.Com.","2024-10-09","True","1.4"
"26","Interés Que","Deportes","879.93","416.67","157","Restauración Castellana S.C.P","2024-04-01","True","1.2"
"27","Zona Hora","Juguetes","947.48","47.4","248","Comercializadora Martín S.A.","2025-10-03","True","4.9"
"28","Derecho Vida","Juguetes","768.18","68.55","243","Industrias FH S.Coop.","2025-06-24","True","2.1"
"29","Especie Proceso","Juguetes","428.91","109.84","276","Hermanos Rivas S.A.","2025-07-21","True","3.9"
"30","Mira Da","Moda","995.2","326.69","224","Natividad Calderon Coello S.Coop.","2025-08-08","False","1.5"
"31","Años Defensa","Hogar","73.39","15.41","283","Marín y asociados S.Coop.","2024-02-20","True","3.4"
"32","Seis Próximo","Electrónicos","80.28","317.4","117","Suministros Española S.L.N.E","2024-11-25","True","4.6"
"33","Conciencia Peor","Deportes","80.15","122.81","342","Grupo Pera S.L.N.E","2025-06-25","False","1.9"
"34","Causa Jóvenes","Hogar","726.12","441.78","295","Minería Martín y asociados S.L.","2025-06-06","False","2.0"
"35","Ninguna Ya","Moda","809.42","99.25","49","Manufacturas TMNF S.Coop.","2025-05-12","False","2.4"
"36","Población Única","Moda","472.35","365.89","344","Infante y Rosales S.L.","2025-08-19","True","1.2"
"37","Distintas Poder","Libros","345.91","431.53","127","Mariana Carlos Barral S.Coop.","2024-07-14","True","1.8"
"38","Razones Apoyo","Moda","148.78","95.83","236","Compañía Durán & Asociados S.Com.","2024-01-13","True","4.5"
"39","Población Etc","Electrónicos","448.7","431.37","281","Belda y Llamas S.L.L.","2023-10-28","True","1.2"
"40","Pacientes Quien","Juguetes","837.67","484.65","474","Tecnologías Gimenez & Asociados S.L.L.","2024-05-30","True","1.7"
"41","Jefe Haciendo","Moda","486.54","433.0","462","Oller y Montoya S.L.U.","2025-08-23","True","1.7"
"42","Principio Decir","Electrónicos","985.46","136.28","401","Soluciones Ramos y asociados S.A.","2025-04-07","False","2.1"
"43","Mira Año","Libros","957.74","497.73","284","Fábrica DSLH S.L.L.","2023-11-19","False","1.6"
"44","Fuego Favor","Deportes","225.52","33.95","376","Supermercados del Noroeste S.L.L.","2025-07-29","True","4.0"
"45","Podrá Origen","Electrónicos","59.64","241.01","470","Tecnologías del Norte S.A.T.","2025-07-09","True","1.2"
"46","Superior Actividades","Juguetes","89.31","96.98","304","Familia Escribano S.Com.","2024-09-16","True","3.7"
"47","Mes Esos","Hogar","409.74","471.09","291","Familia Matas S.L.U.","2024-09-21","True","3.3"
"48","Presencia Veces","Electrónicos","623.19","212.52","298","Supermercados del Levante S.L.N.E","2024-01-11","False","4.7"
"49","Comercio Grado","Hogar","673.03","160.52","135","Soluciones LXU S.L.","2023-11-11","False","1.5"
"50","Público Hijo","Libros","307.0","161.51","384","Carpio y Puga S.L.","2024-08-21","True","1.0"
"51","Tú Mujeres","Juguetes","998.47","498.07","37","Familia Flor S.C.P","2025-01-29","True","3.0"
"52","Ante Prueba","Hogar","933.93","441.03","450","Silva y asociados S.Coop.","2024-12-20","True","2.5"
"53","Partidos Antonio","Hogar","443.8","273.89","154","Hnos Terrón S.Coop.","2025-04-19","True","3.7"
"54","Sido Animales","Juguetes","306.38","333.38","480","Logística Iberia S.Com.","2025-07-22","True","2.1"
"55","Puso Negro","Electrónicos","744.99","81.95","144","Talleres Blanes & Asociados S.C.P","2024-09-24","True","3.9"
"56","Felipe Partido","Hogar","690.62","427.19","258","Industrias Giner S.L.L.","2025-09-01","False","2.0"
"57","Carlos Curso","Electrónicos","101.38","214.67","141","Compañía Arribas y asociados S.L.N.E","2024-05-23","True","1.0"
"58","Guerra Constitución","Hogar","640.74","134.67","379","Suarez y asociados S.Com.","2024-12-17","False","3.2"
"59","Aunque América","Moda","565.3","60.38","483","Banco Feijoo y asociados S.Com.","2025-03-31","True","3.2"
"60","Asimismo Sola","Deportes","586.68","78.31","65","Hotel MGN S.Coop.","2024-10-12","True","2.2"
"61","Común Juez","Electrónicos","899.94","108.99","127","Peñalver y Domínguez S.A.","2025-03-31","True","2.4"
"62","Estudios Ministerio","Juguetes","885.29","206.16","317","Banca Privada Cantero S.L.N.E","2024-12-06","True","4.7"
"63","Estilo Aquellas","Hogar","865.96","488.22","415","Hermanos Luna S.A.","2024-06-17","True","4.5"
"64","Aún Hospital","Electrónicos","187.57","462.62","400","Restauración Armas S.L.","2025-08-27","False","4.2"
"65","Agua Que","Libros","812.64","137.07","403","Trini Tamarit Barrios S.C.P","2025-04-01","True","2.5"
"66","Buscar Tipo","Electrónicos","860.01","115.1","418","Supermercados del Noroeste S.Com.","2025-08-26","False","2.4"
"67","Están Quienes","Hogar","230.69","331.72","204","Comercial Garriga S.A.","2023-11-08","False","2.1"
"68","Fuentes Va","Electrónicos","967.22","143.17","328","Emiliano Hoz Trujillo S.L.","2024-01-16","False","3.7"
"69","Aun Gracias","Juguetes","337.84","18.66","449","Restauración del Noroeste S.A.","2024-03-27","False","1.7"
"70","Control Especial","Deportes","47.87","300.3","176","Finanzas TDV S.Com.","2024-02-26","False","2.7"
"71","Gente Guerra","Juguetes","124.49","450.25","97","Talleres Morata y asociados S.Coop.","2024-08-08","False","1.2"
"72","Peso Negro","Moda","11.67","463.16","275","Buendía y Solera S.L.","2025-05-26","True","2.5"
"73","Su Mí","Electrónicos","949.39","460.78","319","Alimentación Carballo S.L.","2023-12-01","False","3.7"
"74","Produce Salir","Electrónicos","722.56","153.66","158","Mayol y asociados S.Com.","2024-01-11","False","2.3"
"75","Social Instituciones","Libros","302.7","68.01","215","Hnos Cabeza S.A.","2024-08-28","False","3.7"
"76","Éste Cosas","Hogar","619.36","153.97","280","Rubio y asociados S.L.L.","2024-06-23","True","2.2"
"77","Conjunto Haber","Hogar","435.59","292.09","335","Prada y Royo S.L.","2023-11-09","False","2.9"
"78","Obra Existencia","Moda","678.87","258.03","406","Minería Garriga S.C.P","2025-03-21","True","3.6"
"79","Mucho Televisión","Deportes","520.3","318.31","171","Grupo Burgos S.Com.","2024-09-19","True","4.3"
"80","Así Libro","Hogar","676.07","116.2","101","Palacios & Asociados S.Coop.","2024-04-19","True","1.1"
"81","Antes José","Hogar","984.1","307.58","393","Perlita Landa Andrés S.C.P","2025-08-31","True","2.8"
"82","Régimen Mira","Libros","579.91","360.58","196","Melchor Carlos Roura S.C.P","2023-11-21","False","2.6"
"83","Serie Entrada","Hogar","659.5","7.74","384","Suministros del Noroeste S.Com.","2024-05-19","True","4.1"
"84","Debía Valor","Hogar","184.13","479.19","265","Consultoría Avanzadas S.L.N.E","2025-02-01","False","1.2"
"85","Pueden Señaló","Hogar","918.3","65.07","68","Uría y asociados S.L.","2024-01-01","False","3.7"
"86","Instituto Asimismo","Juguetes","599.5","475.27","456","Ferrando & Asociados S.A.","2024-06-20","False","3.5"
"87","Nuestros Clase","Libros","893.1","216.24","464","Consultoría CHOU S.C.P","2024-03-30","False","4.6"
"88","Instituciones Peso","Libros","862.88","227.78","384","Comercial Blázquez y asociados S.A.","2024-01-23","True","4.4"
"89","Norte Día","Deportes","768.16","263.04","320","Ballesteros y Segovia S.Coop.","2023-10-30","True","2.1"
"90","Partido Cambio","Electrónicos","716.41","121.07","171","Solana & Asociados S.C.P","2025-01-19","False","4.6"
"91","Cabo Solo","Electrónicos","146.99","119.47","355","Servicios Coronado S.L.L.","2024-07-03","True","3.8"
"92","Estaba Pesar","Electrónicos","420.72","168.79","238","Distribuciones Salvador S.Coop.","2024-08-26","False","1.2"
"93","Lado Humana","Moda","395.58","386.05","484","Transportes Globales S.Com.","2025-08-23","True","4.4"
"94","Televisión Ha","Juguetes","386.58","7.92","180","Instalaciones del Norte S.Coop.","2024-06-27","False","4.0"
"95","Dice Elecciones","Moda","542.84","368.64","409","Josué González Robledo S.A.","2023-11-17","True","3.0"
"96","Españoles Afirmó","Deportes","441.48","19.37","172","Supermercados Mendizábal & Asociados S.A.","2025-10-06","False","3.9"
"97","Hizo Popular","Moda","920.35","490.46","273","Regina Cerdán Marti S.Com.","2024-10-31","True","4.6"
"98","Mal Niveles","Juguetes","568.75","18.42","329","Chamorro & Asociados S.A.","2024-01-23","False","1.5"
"99","Fútbol Partidos","Moda","189.91","133.78","167","Servicios del Noroeste S.Com.","2025-07-15","True","2.8"
"100","Creo Espera","Deportes","763.62","192.67","385","Hermanos Rosado S.L.","2025-10-07","False","2.0"
"101","Capacidad Práctica","Electrónicos","475.6","375.77","26","Zaira Alonso Villalonga S.L.N.E","2025-10-17","False","1.9"
"102","D Naturaleza","Electrónicos","783.42","327.62","386","Minería Vilalta S.L.L.","2025-08-17","True","4.8"
"103","Jóvenes Hicieron","Hogar","840.84","312.56","122","Pareja & Asociados S.Coop.","2024-03-04","True","2.9"
"104","Lado Tres","Electrónicos","568.33","112.89","358","Desarrollo Españolas S.A.","2024-09-13","False","4.1"
"105","Distintos Apoyo","Hogar","609.83","482.05","367","Hermanos Badía S.Com.","2024-03-13","True","4.1"
"106","Aquella Plan","Hogar","965.07","58.51","13","Logística ZCN S.L.N.E","2024-07-15","False","3.3"
"107","Igual Estos","Moda","402.69","358.93","38","Familia Diéguez S.Coop.","2025-06-15","True","1.4"
"108","Poner Cuadro","Deportes","851.79","302.2","61","Grupo Valdés S.A.","2025-06-12","True","2.4"
"109","Cerca Jorge","Moda","664.91","39.13","331","Minería XN S.Com.","2025-05-30","False","1.1"
"110","Único Corazón","Moda","824.11","57.24","491","Ágata Salom Laguna S.C.P","2023-11-16","False","3.5"
"111","General Busca","Moda","710.24","220.57","375","Promociones LKR S.L.","2025-04-20","False","3.5"
"112","Económica Sectores","Juguetes","776.9","235.11","422","Desarrollo OU S.L.","2024-02-14","False","2.3"
"113","Compañía Mayoría","Hogar","832.42","47.9","451","Inversiones GVIG S.C.P","2024-01-07","False","2.0"
"114","Cuya Todas","Moda","574.15","335.75","172","Desarrollo Alemany y asociados S.L.","2025-02-19","True","3.0"
"115","Sus Partir","Deportes","190.02","110.0","408","Tecnologías Alsina & Asociados S.Coop.","2024-10-07","False","2.4"
"116","Objetivo Socialista","Juguetes","704.17","141.75","5","Infraestructuras Sanz S.L.","2024-07-12","True","1.3"
"117","B Carlos","Libros","412.36","279.81","123","Familia Agustín S.L.N.E","2024-01-24","False","3.6"
"118","Mayoría Antonio","Moda","453.69","13.54","150","Supermercados Rosales y asociados S.C.P","2025-04-21","True","2.6"
"119","Suficiente Estudios","Hogar","313.14","292.87","242","Minería Macías y asociados S.A.U","2025-04-06","False","2.7"
"120","Media San","Libros","554.88","179.15","232","Hermanos Criado S.L.U.","2023-11-28","False","2.2"
"121","Había Palabra","Hogar","129.45","100.33","61","Mata y Pinto S.L.N.E","2025-07-15","True","1.8"
"122","Pública Volver","Libros","489.36","363.67","500","Marita Durán Fernández S.Coop.","2024-07-06","False","4.9"
"123","Realidad Desde","Hogar","303.28","183.64","154","Tudela y Campos S.L.","2024-12-27","True","3.8"
"124","Además Tenido","Hogar","281.57","487.28","283","Alberto y asociados S.Com.","2024-03-27","False","3.8"
"125","Debe Incluso","Hogar","641.49","377.63","52","Alimentación Verdugo S.A.","2025-03-23","True","3.3"
"126","Semana Hubo","Moda","483.93","173.65","494","Industrias Navas & Asociados S.L.","2025-04-03","True","2.0"
"127","Compañía Técnica","Moda","122.95","37.35","251","Hnos Luz S.C.P","2024-07-13","True","3.3"
"128","Ministro Reunión","Libros","63.07","78.85","288","Minería Internacionales S.Coop.","2024-07-10","False","1.3"
"129","Niño Parecía","Hogar","127.27","383.4","310","Clemente y Samper S.L.","2024-11-19","True","4.1"
"130","Principales Antonio","Moda","456.01","224.15","440","Grupo Sans S.Coop.","2024-11-29","False","2.2"
"131","Mujeres Vuelta","Juguetes","69.63","480.25","50","Diez y asociados S.A.","2025-10-20","True","3.5"
"132","Explicó Piel","Deportes","663.82","82.74","88","Grupo Montesinos S.Coop.","2023-11-04","True","1.6"
"133","Largo Consumo","Moda","456.0","298.94","149","Ochoa & Asociados S.A.","2025-08-22","True","1.9"
"134","Posición Viene","Libros","289.89","430.51","36","Soluciones QZOR S.Coop.","2024-06-28","True","4.7"
"135","Aparece Posibilidad","Libros","593.89","402.93","101","Río y Jáuregui S.Coop.","2024-01-27","False","1.5"
"136","Sistema Función","Hogar","651.16","454.66","423","Hermanos Amor S.L.","2024-08-29","True","1.3"
"137","Habrá Cerca","Hogar","794.7","299.55","422","Tecnologías GW S.L.L.","2024-06-13","False","2.8"
"138","He Cierto","Moda","691.79","351.37","482","Despacho THX S.A.","2024-04-07","False","3.0"
"139","Presidente Existe","Moda","443.38","301.03","455","Sala y asociados S.Coop.","2025-06-24","False","3.9"
"140","Españoles Sea","Juguetes","257.86","50.21","492","Fábrica Osuna & Asociados S.L.N.E","2025-09-19","True","5.0"
"141","Precisamente Verdad","Libros","823.21","290.24","390","Construcción PTF S.Com.","2024-12-01","True","2.9"
"142","Diez Dos","Libros","447.81","142.69","299","Hnos Chamorro S.Com.","2025-04-29","False","3.5"
"143","Siguientes J","Moda","969.36","237.66","209","Industrias HMG S.L.L.","2024-10-31","False","2.3"
"144","Pequeña Sino","Electrónicos","859.16","168.25","355","Tecnologías Castellana S.Com.","2025-07-25","False","2.2"
"145","Especie N","Moda","815.43","277.3","232","Cardona y asociados S.L.","2024-05-13","True","2.3"
"146","Dicho Hubiera","Deportes","124.76","387.41","442","Restauración YTAA S.A.U","2025-02-10","True","3.6"
"147","Dirección Fue","Juguetes","467.36","31.83","265","Inmobiliaria Ramirez S.C.P","2023-12-15","False","3.5"
"148","Ve Muchos","Moda","629.15","381.2","104","Hermanos Solano S.Coop.","2024-09-08","False","3.2"
"149","Primer Palabra","Deportes","443.73","350.63","62","Construcción del Mediterráneo S.L.","2025-01-19","True","4.9"
"150","Idea Voz","Juguetes","801.32","356.34","159","Hernández & Asociados S.A.","2024-01-06","True","3.2"
"151","Septiembre Libro","Electrónicos","232.45","421.5","58","Tecnologías Higueras S.A.","2025-05-19","False","4.8"
"152","Español Pedro","Libros","833.82","251.7","366","Jenny Vives Pulido S.L.U.","2024-11-03","False","3.0"
"153","Puso Sé","Deportes","421.34","243.84","241","Distribuciones EK S.A.","2025-08-21","True","2.8"
"154","Seguro Hablar","Hogar","389.75","461.32","260","Soluciones Montalbán S.L.","2024-07-12","True","4.5"
"155","Minutos Pasó","Deportes","774.95","427.93","174","Logística Águila y asociados S.A.U","2024-05-27","False","4.3"
"156","Tipo Primera","Deportes","728.79","419.55","296","Hermanos Carrillo S.L.","2024-11-18","False","4.5"
"157","Fernando Estas","Moda","543.19","175.84","282","Infraestructuras Integrales S.L.N.E","2025-02-02","False","2.8"
"158","Experiencia Militar","Deportes","870.91","490.48","122","Hermanos Varela S.Coop.","2025-06-19","False","1.9"
"159","Señor Tener","Moda","53.21","373.63","361","Celestino Botella Hidalgo S.A.","2024-10-15","False","2.5"
"160","Pesar Mercado","Libros","794.47","327.75","77","Grupo Requena S.L.N.E","2025-07-22","False","4.9"
"161","Pasó Produce","Hogar","507.27","297.14","445","Comercializadora SH S.A.","2024-12-24","True","4.5"
"162","Grupo Mayores","Moda","108.71","455.67","7","Hermanos Carrión S.L.L.","2024-03-18","True","2.6"
"163","Obra Pesar","Libros","970.26","42.04","400","Despacho Sanmiguel y asociados S.A.","2025-01-17","False","2.4"
"164","Necesidad Importantes","Libros","403.51","44.76","168","Fábrica Chico y asociados S.Coop.","2025-02-27","False","4.8"
"165","Otros Menor","Libros","721.53","380.9","446","Minería EB S.A.","2024-03-02","True","3.5"
"166","Una Mundial","Hogar","634.85","460.86","116","Comercial Salvador & Asociados S.L.N.E","2024-03-10","True","2.7"
"167","Encuentra Actitud","Electrónicos","762.77","353.43","51","Banco Iberia S.Com.","2024-10-14","False","1.7"
"168","Hora Tres","Deportes","904.39","27.77","407","Pereira y asociados S.A.","2024-12-20","True","2.2"
"169","Amigo Medidas","Deportes","436.38","125.88","210","Restauración Inteligentes S.A.","2025-05-27","True","1.7"
"170","Ella Fueron","Electrónicos","613.4","194.36","349","Grupo Atienza S.A.","2023-12-08","True","3.0"
"171","Mesa Año","Juguetes","151.69","233.27","130","Industrias Cañas y asociados S.C.P","2025-07-31","False","2.0"
"172","Pie Asimismo","Electrónicos","899.92","235.3","147","Suministros Española S.A.","2025-01-09","True","1.3"
"173","Revolución Será","Deportes","987.78","153.08","492","Hermanos Boada S.Coop.","2024-01-23","False","3.8"
"174","Experiencia Diferencia","Moda","846.85","103.61","196","Tecnologías Pavón S.A.","2025-01-07","False","1.4"
"175","Santiago Datos","Moda","576.2","289.53","358","Minería Iberia S.A.","2025-06-29","False","1.1"
"176","Prueba Un","Libros","401.85","9.01","442","Servicios Ibéricos S.L.N.E","2024-10-26","True","4.6"
"177","Aumento Corte","Libros","501.76","452.56","146","Familia Ortiz S.L.L.","2023-12-18","True","3.4"
"178","Instituto De","Deportes","226.81","99.12","128","Compañía Ávila S.A.T.","2025-04-04","True","3.5"
"179","Peor Había","Libros","649.88","157.92","225","Matilde Carretero Gimenez S.C.P","2025-04-09","True","3.3"
"180","Dolor Largo","Libros","140.1","455.27","167","Farmaceútica Leiva S.Coop.","2024-11-25","False","1.7"
"181","Trabajo Silencio","Hogar","788.65","438.85","187","Blanca & Asociados S.A.","2025-04-05","False","4.3"
"182","Unión Donde","Deportes","914.91","472.37","495","Consultoría Carranza y asociados S.L.","2024-07-19","False","4.0"
"183","Hijo Curso","Deportes","806.19","236.82","38","Tecnologías Esteban y asociados S.L.","2025-01-13","True","4.0"
"184","Tan Socialista","Hogar","861.54","363.49","203","Grupo Campo S.C.P","2024-08-04","False","1.4"
"185","Pueden Mientras","Moda","23.78","270.6","232","Pardo y asociados S.A.","2024-09-10","False","3.7"
"186","Conseguir Decir","Libros","269.54","193.61","326","José Mari Borrego Diez S.Coop.","2025-03-25","False","1.4"
"187","Entonces M","Hogar","476.76","311.68","482","Molins y Bellido S.L.N.E","2024-04-29","False","4.7"
"188","Precios Cualquier","Hogar","651.18","319.52","237","Nayara Zurita Vendrell S.Com.","2024-10-11","False","3.6"
"189","Valores Propuesta","Electrónicos","148.38","473.4","155","Comercial Españolas S.L.N.E","2024-10-25","False","1.5"
"190","Propuesta Suelo","Hogar","888.39","72.15","232","Manufacturas Cuesta S.L.N.E","2023-12-02","False","3.7"
"191","Cuba Su","Libros","699.52","272.4","300","Manufacturas ILH S.A.","2024-12-10","True","4.5"
"192","Vida Decisión","Libros","108.03","247.23","208","Terrón & Asociados S.L.N.E","2024-03-17","False","1.1"
"193","Algunos Se","Deportes","225.1","225.12","120","Hnos Duarte S.A.","2023-11-07","False","1.4"
"194","Hizo J","Libros","373.66","451.34","330","Hnos Pazos S.A.","2025-05-11","False","1.2"
"195","Decisión Calidad","Deportes","197.91","65.47","434","Inmobiliaria Ibérica S.Com.","2025-10-01","False","1.4"
"196","Vio Hombres","Hogar","645.29","300.59","10","Talleres GCB S.Coop.","2024-09-15","True","4.1"
"197","Tribunal Mismo","Hogar","988.93","394.55","105","Selena Nuñez Vicente S.Com.","2023-11-07","True","4.3"
"198","General Cinco","Juguetes","215.09","111.9","445","Teresa Canals Guillen S.L.N.E","2025-07-11","True","2.3"
"199","Dicho Dónde","Hogar","790.76","300.01","141","Comercial del Norte S.A.","2024-01-02","True","5.0"
"200","País Quería","Juguetes","258.15","91.38","338","Banca Privada KZ S.Com.","2024-06-18","True","1.5"
"201","Vuelta Sectores","Deportes","792.08","122.78","165","Amando Pina López S.A.D","2025-10-09","True","1.7"
"202","Primeras Miedo","Electrónicos","135.49","213.38","58","Fábrica Ferrández y asociados S.A.","2024-06-21","True","2.9"
"203","Respecto Podría","Deportes","518.11","58.98","257","Fábrica Lara & Asociados S.Com.","2025-09-10","True","4.8"
"204","Diez Intereses","Electrónicos","729.97","454.83","337","Minería del Norte S.L.","2024-12-17","False","2.8"
"205","Miembros Servicio","Electrónicos","70.22","242.1","205","Pérez y Redondo S.Com.","2025-08-28","False","3.7"
"206","Voy Deja","Moda","715.28","224.56","460","Restauración NE S.L.","2025-06-09","True","2.3"
"207","Felipe María","Hogar","75.03","141.13","324","Bayón & Asociados S.A.T.","2024-04-24","False","2.5"
"208","Estos Él","Juguetes","535.25","229.59","309","Graciana Donoso Iglesias S.Com.","2024-08-09","False","1.4"
"209","Pregunta Estaba","Libros","123.27","329.08","449","Banco Jover & Asociados S.A.T.","2024-08-21","True","2.7"
"210","Carta Sistema","Hogar","419.68","414.57","204","Ruben Vilalta Cantero S.Com.","2024-01-07","False","3.9"
"211","Bastante Posibilidades","Deportes","432.5","334.23","191","Soluciones Crespi S.Com.","2025-07-19","True","3.7"
"212","Central Tenía","Moda","76.46","416.73","47","Instalaciones Roldan S.A.U","2024-04-14","False","1.4"
"213","Señora Persona","Libros","378.92","69.41","30","Banco Arteaga y asociados S.L.","2024-04-30","False","3.7"
"214","También Manera","Moda","360.06","334.34","384","Huguet y Cañellas S.Com.","2024-04-19","False","4.5"
"215","Energía Humano","Libros","60.93","147.38","159","Albert Polo Hoyos S.L.L.","2024-01-07","False","1.4"
"216","Natural Baja","Juguetes","220.61","330.08","114","Tecnologías Lozano & Asociados S.Coop.","2024-03-23","True","2.4"
"217","Ni Empresas","Juguetes","373.89","382.49","293","Gonzalo y asociados S.A.U","2024-01-20","True","4.2"
"218","Uno Antes","Juguetes","974.8","410.12","314","Distribuciones Pablo S.Com.","2024-05-23","True","3.4"
"219","Todas Todos","Libros","831.17","137.39","92","Amigó y Barberá S.L.U.","2025-01-28","False","3.8"
"220","Ellos Obras","Deportes","922.32","178.76","92","Grupo Núñez S.A.U","2025-09-07","True","3.3"
"221","Domingo América","Moda","78.89","371.78","497","Vendrell y Pascual S.L.N.E","2025-09-07","True","1.4"
"222","Antonio Gracias","Juguetes","222.98","212.82","174","Hermanos Zurita S.L.L.","2024-11-18","True","2.5"
"223","Vista Hacerlo","Libros","331.14","471.0","305","Distribuciones VNYS S.C.P","2025-07-19","True","4.5"
"224","Cargo Servicios","Hogar","165.84","310.83","345","Varela y García S.Com.","2024-05-04","True","2.1"
"225","Realizar Lejos","Libros","429.77","305.5","212","Daza & Asociados S.A.U","2025-01-04","False","1.9"
"226","Destino B","Juguetes","122.68","217.81","145","Logística Matas & Asociados S.L.","2024-05-05","False","3.1"
"227","Reunión Mal","Deportes","54.96","200.66","306","Consultoría Estévez & Asociados S.L.","2024-05-30","True","1.0"
"228","Mundo Contenido","Deportes","945.87","384.84","391","Goñi y Gimenez S.A.","2025-04-04","False","2.2"
"229","Sólo Pudo","Electrónicos","17.65","374.77","89","Inmobiliaria Pablo S.L.","2024-03-30","True","2.5"
"230","Club Debido","Libros","237.81","281.57","342","Familia Amat S.L.","2024-05-01","False","1.3"
"231","Eso Hacen","Libros","51.88","14.28","471","Inversiones Cañizares & Asociados S.L.","2025-07-15","True","4.4"
"232","Joven Pacientes","Juguetes","434.99","205.19","327","Escrivá y Abellán S.C.P","2024-11-29","False","2.2"
"233","Trabajar Libertad","Moda","30.65","165.76","410","Sabater & Asociados S.C.P","2024-04-14","False","4.3"
"234","Juan Muestra","Deportes","97.25","423.02","124","Familia Pinto S.L.","2024-06-07","False","3.4"
"235","Contra Nacional","Juguetes","87.86","435.91","381","Desarrollo del Sur S.A.","2025-01-05","False","1.9"
"236","Seguridad Punto","Hogar","85.62","318.45","271","Minería Beltran S.L.","2025-08-20","True","4.6"
"237","Dicen Supuesto","Deportes","357.59","479.32","330","Hnos Fortuny S.A.","2024-05-15","True","1.9"
"238","Quiero Lado","Hogar","263.41","90.88","78","Fábrica Menéndez S.A.","2024-05-02","True","1.7"
"239","Te Dinero","Libros","499.18","378.45","389","Piñol y Morán S.A.","2025-02-19","False","3.7"
"240","Director Voluntad","Juguetes","646.56","493.33","165","Hnos Cadenas S.A.","2025-04-03","False","1.6"
"241","Familia Corte","Electrónicos","474.23","317.54","407","Cosme Cantero Gibert S.A.","2024-09-05","False","3.4"
"242","N Formación","Deportes","512.26","158.65","231","Transportes Sastre & Asociados S.L.N.E","2023-12-17","True","1.2"
"243","Corazón Antes","Deportes","85.96","432.8","437","Inmobiliaria YSK S.Coop.","2025-05-15","True","3.5"
"244","Estudio Ocasión","Juguetes","390.64","292.26","488","Crescencia Araujo Diego S.A.","2024-02-16","True","2.8"
"245","Del Puerto","Juguetes","655.32","164.16","243","Banca Privada Avanzadas S.Coop.","2024-02-13","True","4.8"
"246","Dolor Medida","Moda","112.47","450.07","175","Hermanos Rivera S.L.","2025-03-22","True","3.0"
"247","Mitad Intereses","Hogar","48.75","355.27","224","Ruben Seco Valentín S.L.","2025-01-06","True","2.5"
"248","Izquierda Tendrá","Deportes","393.54","388.36","347","Pujol y Asenjo S.L.","2024-03-21","True","4.2"
"249","Cuando Marcha","Libros","341.3","168.2","285","Supermercados IOW S.C.P","2025-04-19","False","2.1"
